"doc_id","cluster_id","cluster_label","document"
"34","0","Carbon / Health / Heat","Hedge funds use leverage and short selling to generate absolute returns."
"35","0","Carbon / Health / Heat","Options give holders the right but not the obligation to buy or sell an asset."
"36","8","Price / Share / Earnings","Market capitalization is calculated by multiplying share price by shares outstanding."
"37","8","Price / Share / Earnings","Earnings per share measures profitability on a per-share basis."
"38","8","Price / Share / Earnings","The price-to-earnings ratio compares a company's share price to its annual earnings."
"39","0","Carbon / Health / Heat","Venture capital funds invest in early-stage startups in exchange for equity."
"40","0","Carbon / Health / Heat","Inflation erodes the purchasing power of money over time."
"41","0","Carbon / Health / Heat","A bull market is characterized by rising asset prices and investor optimism."
"42","9","Risk / Events / Cardiovascular","Credit default swaps are derivatives that transfer credit risk between parties."
"43","0","Carbon / Health / Heat","Quantitative easing involves central banks purchasing government bonds."
"44","0","Carbon / Health / Heat","Algorithmic trading uses computer programs to execute trades at high speed."
"45","0","Carbon / Health / Heat","The efficient market hypothesis argues prices reflect all available information."
"46","8","Price / Share / Earnings","Arbitrage exploits price discrepancies across markets to earn risk-free profit."
"47","0","Carbon / Health / Heat","Liquidity refers to how easily an asset can be converted to cash without loss."
"48","0","Carbon / Health / Heat","ESG investing considers environmental, social, and governance factors."
"49","8","Price / Share / Earnings","Dollar-cost averaging invests fixed amounts at regular intervals regardless of price."
"50","0","Carbon / Health / Heat","Compound interest grows exponentially as returns are reinvested over time."
"51","0","Carbon / Health / Heat","A recession is typically defined as two consecutive quarters of negative GDP growth."
"52","0","Carbon / Health / Heat","Cryptocurrency markets are highly volatile and operate around the clock."
"53","0","Carbon / Health / Heat","The yield curve plots interest rates across different bond maturities."
"54","0","Carbon / Health / Heat","Private equity acquires companies to restructure and resell at a profit."
"55","8","Price / Share / Earnings","Dividend yield measures annual dividends relative to the share price."
"56","0","Carbon / Health / Heat","Portfolio rebalancing maintains target asset allocations by buying and selling."
"57","0","Carbon / Health / Heat","Tax-loss harvesting realizes losses to offset capital gains."
"58","8","Price / Share / Earnings","Inflation-linked bonds adjust principal and coupons based on price indices."
"59","0","Carbon / Health / Heat","Sovereign wealth funds invest national savings in global financial assets."
"60","0","Carbon / Health / Heat","Rising global temperatures are attributed to increased greenhouse gas emissions."
"61","0","Carbon / Health / Heat","Carbon dioxide from fossil fuel combustion is the primary driver of warming."
"62","0","Carbon / Health / Heat","Melting Arctic ice amplifies warming through the ice-albedo feedback loop."
"63","0","Carbon / Health / Heat","Sea level rise threatens coastal cities and low-lying island nations."
"64","0","Carbon / Health / Heat","Renewable energy sources like solar and wind are expanding rapidly worldwide."
"65","0","Carbon / Health / Heat","The Paris Agreement aims to limit warming to 1.5 degrees Celsius above pre-industrial levels."
"66","0","Carbon / Health / Heat","Carbon capture technology removes CO2 from the atmosphere or industrial emissions."
"67","0","Carbon / Health / Heat","Deforestation releases stored carbon and reduces the planet's carbon-absorbing capacity."
"68","0","Carbon / Health / Heat","Ocean acidification harms marine ecosystems by absorbing excess atmospheric CO2."
"69","9","Risk / Events / Cardiovascular","Extreme weather events including droughts and floods are becoming more frequent."
"70","0","Carbon / Health / Heat","Permafrost thaw in Siberia releases methane, a potent greenhouse gas."
"71","0","Carbon / Health / Heat","Electric vehicles reduce transport emissions when charged with clean electricity."
"72","0","Carbon / Health / Heat","Green hydrogen produced by electrolysis can decarbonize heavy industry."
"73","0","Carbon / Health / Heat","Carbon pricing assigns a cost to emissions to incentivize cleaner alternatives."
"74","9","Risk / Events / Cardiovascular","Coral bleaching events are intensifying as ocean temperatures rise."
"75","0","Carbon / Health / Heat","Sustainable agriculture practices can sequester carbon in soils."
"76","0","Carbon / Health / Heat","Climate refugees are being displaced by rising seas and extreme heat."
"77","0","Carbon / Health / Heat","The IPCC publishes scientific consensus reports on climate change impacts."
"78","0","Carbon / Health / Heat","Net-zero targets require balancing emissions released with those removed."
"79","0","Carbon / Health / Heat","Geoengineering proposals like solar radiation management carry uncertain risks."
"80","0","Carbon / Health / Heat","Biodiversity loss is accelerating as habitats shift under changing climate conditions."
"81","0","Carbon / Health / Heat","Building retrofits improve energy efficiency and cut heating and cooling emissions."
"82","0","Carbon / Health / Heat","Offshore wind farms generate large amounts of clean electricity at lower land cost."
"83","0","Carbon / Health / Heat","Circular economy principles reduce waste and lower overall resource consumption."
"84","0","Carbon / Health / Heat","Heat pumps are more efficient than gas boilers for heating homes and buildings."
"85","0","Carbon / Health / Heat","Urban heat islands make cities hotter than surrounding rural areas."
"86","0","Carbon / Health / Heat","Climate litigation is holding governments and corporations accountable for inaction."
"87","0","Carbon / Health / Heat","Just transition policies protect workers in fossil fuel industries during decarbonization."
"88","0","Carbon / Health / Heat","Nature-based solutions use ecosystems like wetlands and forests to capture carbon."
"89","0","Carbon / Health / Heat","Nuclear energy provides low-carbon baseload power but faces public acceptance challenges."
"90","0","Carbon / Health / Heat","NASA's Artemis program aims to return humans to the lunar surface by the mid-2020s."
"91","0","Carbon / Health / Heat","SpaceX's Falcon 9 rocket pioneered reusable booster technology to cut launch costs."
"92","3","Space / Telescope / Space Telescope","The James Webb Space Telescope observes the universe in infrared at Lagrange point L2."
"93","0","Carbon / Health / Heat","Mars missions face challenges including radiation exposure and the six-month transit."
"94","3","Space / Telescope / Space Telescope","The International Space Station has been continuously inhabited since October 2000."
"95","0","Carbon / Health / Heat","Exoplanets are detected using the transit method by observing stellar brightness dips."
"96","0","Carbon / Health / Heat","Black holes warp spacetime so strongly that not even light can escape their event horizon."
"97","0","Carbon / Health / Heat","Neutron stars are incredibly dense remnants of supernova explosions."
"98","0","Carbon / Health / Heat","Gravitational waves were first directly detected by LIGO in 2015."
"99","3","Space / Telescope / Space Telescope","The Voyager probes have traveled beyond the heliopause into interstellar space."
"100","3","Space / Telescope / Space Telescope","Asteroid mining could provide rare metals and water ice for future space operations."
"101","0","Carbon / Health / Heat","Starship is designed to carry 100 tonnes to orbit and eventually reach Mars."
"102","0","Carbon / Health / Heat","Lunar ice deposits at the poles could be converted to rocket propellant."
"103","0","Carbon / Health / Heat","Solar sails use photon pressure from sunlight to propel spacecraft without fuel."
"104","0","Carbon / Health / Heat","The Drake equation estimates the number of communicating civilizations in the galaxy."
"105","0","Carbon / Health / Heat","Titan's methane lakes make it a compelling target for astrobiology research."
"106","0","Carbon / Health / Heat","Europa's subsurface ocean is considered a candidate for extraterrestrial life."
"107","3","Space / Telescope / Space Telescope","The Hubble Space Telescope has been fundamental to measuring the expansion of the universe."
"108","0","Carbon / Health / Heat","Cubesats enable low-cost access to orbit for universities and small organizations."
"109","3","Space / Telescope / Space Telescope","Space debris in low-Earth orbit poses collision risks to operational satellites."
"110","3","Space / Telescope / Space Telescope","Ion propulsion systems are highly efficient for long-duration deep space missions."
"111","0","Carbon / Health / Heat","The cosmic microwave background is the thermal radiation left over from the Big Bang."
"112","0","Carbon / Health / Heat","Dark matter does not interact with light but influences galactic structure through gravity."
"113","0","Carbon / Health / Heat","Orbital mechanics govern how spacecraft navigate between planets using gravity assists."
"114","0","Carbon / Health / Heat","Satellite imagery from orbit supports agriculture, disaster response, and urban planning."
"115","0","Carbon / Health / Heat","Radiation belts around Earth trap charged particles that are hazardous to astronauts."
"116","0","Carbon / Health / Heat","The Perseverance rover collects rock samples for a future Mars Sample Return mission."
"117","0","Carbon / Health / Heat","Commercial crew vehicles from SpaceX and Boeing transport astronauts to the ISS."
"118","3","Space / Telescope / Space Telescope","Space tourism is becoming a market as costs decline and safety improves."
"119","0","Carbon / Health / Heat","Atmospheric entry requires heat shields to dissipate kinetic energy as thermal energy."
"120","0","Carbon / Health / Heat","mRNA vaccines teach the immune system to recognize viral proteins without infection."
"121","4","Cooking / Water / Flavour","CRISPR-Cas9 allows precise edits to DNA sequences by cutting at targeted locations."
"122","0","Carbon / Health / Heat","Antibiotics kill or inhibit bacterial growth by targeting cell wall synthesis or replication."
"123","0","Carbon / Health / Heat","Immunotherapy harnesses the patient's immune system to attack cancer cells."
"124","0","Carbon / Health / Heat","Clinical trials evaluate drug safety and efficacy in phases from small to large groups."
"125","0","Carbon / Health / Heat","The blood-brain barrier restricts passage of molecules from blood to brain tissue."
"126","0","Carbon / Health / Heat","Stem cells can differentiate into specialized cell types for regenerative therapies."
"127","0","Carbon / Health / Heat","Personalized medicine tailors treatments to individual genetic profiles."
"128","0","Carbon / Health / Heat","Antibiotic resistance is a global health crisis driven by overuse and misuse of drugs."
"129","0","Carbon / Health / Heat","Gut microbiome composition is linked to metabolic health, immunity, and mental health."
"130","0","Carbon / Health / Heat","Telemedicine expanded rapidly during the pandemic enabling remote consultations."
"131","0","Carbon / Health / Heat","Organ-on-a-chip technology replicates human tissue function for drug testing."
"132","9","Risk / Events / Cardiovascular","Epidemiology tracks disease patterns to identify risk factors and causes."
"133","0","Carbon / Health / Heat","Herd immunity occurs when enough of a population is immune to slow disease spread."
"134","0","Carbon / Health / Heat","Radiotherapy destroys cancer cells by focusing ionizing radiation on tumors."
"135","9","Risk / Events / Cardiovascular","Statins lower LDL cholesterol and reduce the risk of cardiovascular events."
"136","0","Carbon / Health / Heat","Type 2 diabetes is strongly linked to obesity, sedentary lifestyle, and genetics."
"137","0","Carbon / Health / Heat","Magnetic resonance imaging uses magnetic fields and radio waves to visualize soft tissue."
"138","0","Carbon / Health / Heat","Palliative care focuses on improving quality of life for patients with serious illness."
"139","0","Carbon / Health / Heat","Gene therapy delivers corrected genetic material to cells to treat hereditary disorders."
"140","0","Carbon / Health / Heat","Monoclonal antibodies are engineered to bind specific proteins like cancer antigens."
"141","0","Carbon / Health / Heat","Robotic surgery enables minimally invasive procedures with high precision."
"142","0","Carbon / Health / Heat","Blood pressure monitoring is critical for detecting and managing hypertension."
"143","0","Carbon / Health / Heat","Alzheimer's disease is characterized by amyloid plaques and tau tangles in the brain."
"144","0","Carbon / Health / Heat","Vaccines have eradicated smallpox and dramatically reduced polio incidence globally."
"145","0","Carbon / Health / Heat","Electronic health records improve care coordination and reduce medical errors."
"146","0","Carbon / Health / Heat","Prosthetics are advancing with neural interfaces that allow thought-controlled movement."
"147","9","Risk / Events / Cardiovascular","Sleep disorders such as sleep apnea are associated with cardiovascular risk."
"148","0","Carbon / Health / Heat","Mental health conditions are increasingly recognized alongside physical health."
"149","0","Carbon / Health / Heat","Precision oncology identifies targetable mutations to guide cancer treatment selection."
"150","7","Security / Attacks / Software","Phishing attacks trick users into revealing credentials through deceptive emails."
"151","7","Security / Attacks / Software","Zero-day vulnerabilities are exploited before software vendors have issued a patch."
"152","0","Carbon / Health / Heat","Ransomware encrypts victims' files and demands payment for the decryption key."
"153","9","Risk / Events / Cardiovascular","Multi-factor authentication significantly reduces account takeover risk."
"154","0","Carbon / Health / Heat","End-to-end encryption ensures only sender and recipient can read messages."
"155","7","Security / Attacks / Software","Penetration testing simulates attacks to identify security weaknesses proactively."
"156","7","Security / Attacks / Software","A firewall filters network traffic based on predefined security rules."
"157","0","Carbon / Health / Heat","SQL injection exploits unsanitized inputs to execute malicious database queries."
"158","7","Security / Attacks / Software","Social engineering manipulates people into bypassing security controls."
"159","7","Security / Attacks / Software","Intrusion detection systems monitor network traffic for suspicious patterns."
"160","7","Security / Attacks / Software","Supply chain attacks compromise software dependencies to reach downstream targets."
"161","7","Security / Attacks / Software","The principle of least privilege limits access rights to the minimum necessary."
"162","7","Security / Attacks / Software","Bug bounty programs reward researchers for responsibly disclosing vulnerabilities."
"163","0","Carbon / Health / Heat","Threat intelligence sharing between organizations improves collective defence."
"164","0","Carbon / Health / Heat","Encryption at rest protects stored data if physical media is compromised."
"165","7","Security / Attacks / Software","DDOS attacks overwhelm servers with traffic to make services unavailable."
"166","7","Security / Attacks / Software","Security information and event management centralizes log analysis."
"167","7","Security / Attacks / Software","Identity and access management controls who can access which resources."
"168","0","Carbon / Health / Heat","Cryptographic hash functions produce a fixed-size digest from arbitrary input."
"169","0","Carbon / Health / Heat","Public key infrastructure manages digital certificates for authentication."
"170","7","Security / Attacks / Software","Container security must address image vulnerabilities and runtime privilege escalation."
"171","7","Security / Attacks / Software","DevSecOps integrates security practices throughout the software development lifecycle."
"172","7","Security / Attacks / Software","Network segmentation limits lateral movement after an attacker gains initial access."
"173","7","Security / Attacks / Software","Insider threats from employees with malicious intent or poor security hygiene."
"174","7","Security / Attacks / Software","Patch management applies software updates promptly to close known vulnerabilities."
"175","0","Carbon / Health / Heat","Threat modelling identifies potential attack vectors during system design."
"176","0","Carbon / Health / Heat","Honeypots deceive attackers to gather intelligence on their techniques."
"177","0","Carbon / Health / Heat","The MITRE ATT&CK framework documents adversary tactics, techniques, and procedures."
"178","0","Carbon / Health / Heat","Data loss prevention tools monitor and control sensitive data transfers."
"179","0","Carbon / Health / Heat","Quantum computing threatens to break current asymmetric encryption algorithms."
"180","5","War / World / World War","Football is the world's most popular sport with billions of fans across every continent."
"181","0","Carbon / Health / Heat","The Olympics bring together athletes from over 200 nations every four years."
"182","0","Carbon / Health / Heat","Cricket has a massive following in South Asia, the UK, and Australia."
"183","0","Carbon / Health / Heat","Tennis Grand Slams are played on grass, clay, and hard court surfaces."
"184","0","Carbon / Health / Heat","NBA players earn among the highest salaries of any professional athletes worldwide."
"185","0","Carbon / Health / Heat","Formula One racing combines aerodynamics, engineering, and driver skill."
"186","6","Training / Data / Sets","Marathon running requires months of structured training and careful nutrition."
"187","0","Carbon / Health / Heat","Swimming technique emphasizes streamlined body position and efficient stroke mechanics."
"188","0","Carbon / Health / Heat","Team cohesion and communication are as important as individual skill in basketball."
"189","9","Risk / Events / Cardiovascular","eSports tournaments now attract audiences rivaling traditional sporting events."
"190","7","Security / Attacks / Software","Rugby union and rugby league differ in player numbers, rules, and scoring systems."
"191","0","Carbon / Health / Heat","Cycling's Grand Tours cover thousands of kilometres of mountain and flat stages."
"192","6","Training / Data / Sets","Sports analytics use data to optimize player selection, tactics, and training loads."
"193","6","Training / Data / Sets","Injury prevention programs incorporate strength, flexibility, and movement training."
"194","0","Carbon / Health / Heat","Goalkeepers in football must combine reflexes, positioning, and distribution skills."
"195","5","War / World / World War","The World Cup is watched by a global audience of several billion people."
"196","0","Carbon / Health / Heat","Performance-enhancing drugs remain a persistent problem across elite sports."
"197","6","Training / Data / Sets","Altitude training boosts red blood cell production for endurance athletes."
"198","0","Carbon / Health / Heat","Youth academies develop talent from an early age in football and other sports."
"199","0","Carbon / Health / Heat","Sports psychology helps athletes manage pressure and maintain focus under stress."
"200","0","Carbon / Health / Heat","Ice hockey demands skating ability, puck handling, and aggressive forechecking."
"201","0","Carbon / Health / Heat","Volleyball strategy involves serve reception, setting, and aggressive spiking."
"202","0","Carbon / Health / Heat","Boxing weight classes ensure bouts are contested between evenly matched fighters."
"203","9","Risk / Events / Cardiovascular","Athletics field events include javelin, discus, shot put, and high jump."
"204","5","War / World / World War","Baseball statistics like WAR attempt to quantify a player's total contribution."
"205","0","Carbon / Health / Heat","Stadium design balances sightlines, acoustics, and safety for spectators."
"206","0","Carbon / Health / Heat","Sponsorship and broadcast rights generate billions in revenue for top leagues."
"207","0","Carbon / Health / Heat","Paralympic athletes compete at exceptional levels despite physical impairments."
"208","0","Carbon / Health / Heat","Coaching tactics evolve rapidly as video analysis makes opponent preparation easier."
"209","0","Carbon / Health / Heat","Transfer fees in elite football have escalated to hundreds of millions of euros."
"210","4","Cooking / Water / Flavour","The Maillard reaction produces the brown crust and complex flavour on seared meat."
"211","4","Cooking / Water / Flavour","Emulsification creates stable mixtures of oil and water as in mayonnaise or hollandaise."
"212","4","Cooking / Water / Flavour","Knife skills are foundational — precise cuts ensure even cooking times across ingredients."
"213","0","Carbon / Health / Heat","Fermentation transforms raw ingredients by harnessing beneficial microorganisms."
"214","0","Carbon / Health / Heat","Seasoning with salt enhances existing flavours rather than making food taste salty."
"215","0","Carbon / Health / Heat","Stock made from roasted bones forms the base of many classical French sauces."
"216","0","Carbon / Health / Heat","Braising cooks tough cuts slowly in liquid to break down collagen into gelatin."
"217","4","Cooking / Water / Flavour","Sous vide cooking holds food at precise temperature in a water bath for consistent results."
"218","0","Carbon / Health / Heat","Pasta dough requires the correct hydration ratio and resting time to develop gluten."
"219","0","Carbon / Health / Heat","Baking is a precise science where small measurement errors can ruin texture and rise."
"220","4","Cooking / Water / Flavour","Mise en place — having everything prepared and in place — is fundamental to professional cooking."
"221","0","Carbon / Health / Heat","Acidity from citrus or vinegar balances richness and brightens flavours in a dish."
"222","0","Carbon / Health / Heat","Umami is the fifth basic taste, found in soy sauce, aged cheese, and mushrooms."
"223","0","Carbon / Health / Heat","Tempering chocolate aligns cocoa butter crystals for a glossy snap."
"224","4","Cooking / Water / Flavour","Resting meat after cooking allows juices to redistribute throughout the muscle."
"225","4","Cooking / Water / Flavour","Blanching vegetables briefly in boiling water preserves colour and texture."
"226","0","Carbon / Health / Heat","Reduction concentrates flavours by evaporating liquid from sauces and stocks."
"227","0","Carbon / Health / Heat","Caramelization occurs when sugars break down under dry heat above 160 degrees Celsius."
"228","0","Carbon / Health / Heat","Gluten forms when wheat flour is hydrated and worked, providing structure to bread."
"229","0","Carbon / Health / Heat","Spice blooming in fat releases fat-soluble aromatic compounds for more flavour."
"230","4","Cooking / Water / Flavour","Cold smoking adds flavour without cooking, while hot smoking cooks and flavours simultaneously."
"231","0","Carbon / Health / Heat","Yeast produces carbon dioxide and alcohol during fermentation, causing bread to rise."
"232","0","Carbon / Health / Heat","A roux of equal parts butter and flour thickens sauces when liquid is gradually added."
"233","4","Cooking / Water / Flavour","Marinating tenderizes proteins and adds flavour through acids and enzymes."
"234","0","Carbon / Health / Heat","Japanese dashi stock is made from dried kombu seaweed and bonito flakes."
"235","4","Cooking / Water / Flavour","Cooking vegetables in their own juices concentrates flavour through a fond."
"236","0","Carbon / Health / Heat","Chilli heat comes from capsaicin, which binds to heat receptors on the tongue."
"237","4","Cooking / Water / Flavour","Fresh pasta and dried pasta have different ideal cooking times and textures."
"238","0","Carbon / Health / Heat","Buttercream icings rely on the ratio of fat to sugar for stability and spreadability."
"239","4","Cooking / Water / Flavour","Pressure cookers cut cooking times dramatically by raising the boiling point of water."
"240","1","Models / Language Models / Language","Large language models are trained on vast text corpora using self-supervised objectives."
"241","2","Model / Pretrained Model / Model Behaviour","Prompt engineering involves crafting inputs that elicit the desired model behaviour."
"242","0","Carbon / Health / Heat","Chain-of-thought prompting improves reasoning by encouraging step-by-step solutions."
"243","2","Model / Pretrained Model / Model Behaviour","Retrieval-augmented generation grounds language model outputs in retrieved documents."
"244","2","Model / Pretrained Model / Model Behaviour","AI safety research aims to align model behaviour with human values and intentions."
"245","2","Model / Pretrained Model / Model Behaviour","Fine-tuning adapts a pretrained model to a specific domain or task with less data."
"246","1","Models / Language Models / Language","Token prediction is the fundamental training signal for most modern language models."
"247","1","Models / Language Models / Language","Hallucination refers to language models generating confident but factually wrong content."
"248","1","Models / Language Models / Language","Multimodal models process both text and images to perform cross-modal reasoning."
"249","1","Models / Language Models / Language","Constitutional AI trains models using feedback derived from a set of ethical principles."
"250","2","Model / Pretrained Model / Model Behaviour","Instruction following is tested by benchmarks that evaluate model compliance and accuracy."
"251","1","Models / Language Models / Language","Sparse mixture-of-experts models activate only a fraction of parameters per token."
"252","2","Model / Pretrained Model / Model Behaviour","Context window size determines how much text a language model can process at once."
"253","1","Models / Language Models / Language","AI agents combine language models with tools like search and code execution."
"254","2","Model / Pretrained Model / Model Behaviour","Model evaluation requires careful benchmark construction to avoid contamination."
"255","7","Security / Attacks / Software","Interpretability research tries to understand what computations happen inside neural networks."
"256","1","Models / Language Models / Language","Embedding models map text to dense vectors capturing semantic similarity."
"257","0","Carbon / Health / Heat","Semantic search uses embeddings to retrieve documents by meaning rather than keywords."
"258","1","Models / Language Models / Language","RLHF uses human preference ratings to align language models via reinforcement learning."
"259","1","Models / Language Models / Language","Open-source language models allow broader access and customization than proprietary ones."
"260","2","Model / Pretrained Model / Model Behaviour","Model compression enables deployment on edge devices with limited compute."
"261","2","Model / Pretrained Model / Model Behaviour","Tokenization splits text into subword units that the model processes as discrete tokens."
"262","0","Carbon / Health / Heat","Positional encodings allow transformers to represent sequence order."
"263","0","Carbon / Health / Heat","Flash attention reduces memory usage by recomputing activations rather than storing them."
"264","0","Carbon / Health / Heat","Vision transformers apply the attention mechanism to image patches rather than text tokens."
"265","0","Carbon / Health / Heat","AI regulation is developing globally in response to rapid capability improvements."
"266","7","Security / Attacks / Software","Agentic AI systems autonomously plan and execute multi-step tasks with tools."
"267","1","Models / Language Models / Language","Red-teaming probes models for harmful or unsafe outputs systematically."
"268","6","Training / Data / Sets","Synthetic data generation augments training sets where real data is scarce."
"269","1","Models / Language Models / Language","Multiagent systems involve multiple AI models collaborating or competing on tasks."
"270","0","Carbon / Health / Heat","The Roman Empire at its peak controlled territory from Britain to Mesopotamia."
"271","0","Carbon / Health / Heat","The printing press invented by Gutenberg accelerated the spread of knowledge in Europe."
"272","0","Carbon / Health / Heat","The Industrial Revolution transformed Britain from an agrarian to a manufacturing economy."
"273","5","War / World / World War","World War One was triggered by the assassination of Archduke Franz Ferdinand in Sarajevo."
"274","0","Carbon / Health / Heat","The French Revolution overthrew the monarchy and introduced the Declaration of Rights of Man."
"275","0","Carbon / Health / Heat","The Silk Road connected East Asia, Central Asia, the Middle East, and Europe for centuries."
"276","0","Carbon / Health / Heat","Ancient Egypt's pyramids were built as tombs for pharaohs and their consorts."
"277","0","Carbon / Health / Heat","The Black Death killed an estimated third of Europe's population in the 14th century."
"278","0","Carbon / Health / Heat","The Renaissance revived interest in classical learning, art, and humanism in Italy."
"279","0","Carbon / Health / Heat","Columbus's 1492 voyage initiated sustained contact between Europe and the Americas."
"280","0","Carbon / Health / Heat","The Mongol Empire was the largest contiguous land empire in human history."
"281","5","War / World / World War","The Berlin Wall fell in 1989, signalling the end of the Cold War."
"282","0","Carbon / Health / Heat","The British Empire at its height covered about a quarter of the Earth's land surface."
"283","0","Carbon / Health / Heat","The Enlightenment emphasized reason, science, and individual rights over tradition."
"284","5","War / World / World War","The American Civil War ended slavery and transformed the federal government's power."
"285","5","War / World / World War","World War Two killed an estimated 70 to 85 million people across all theatres of conflict."
"286","5","War / World / World War","The Ottoman Empire lasted over six centuries before dissolving after World War One."
"287","0","Carbon / Health / Heat","Ancient Greek philosophy laid foundations for Western science, ethics, and politics."
"288","5","War / World / World War","The Cold War divided the world into two ideological blocs for nearly half a century."
"289","0","Carbon / Health / Heat","The abolition of the transatlantic slave trade followed decades of activist campaigning."
"290","0","Carbon / Health / Heat","Alexander the Great spread Hellenistic culture across a vast territory by age 30."
"291","0","Carbon / Health / Heat","The Meiji Restoration rapidly modernized Japan by adopting Western technology."
"292","0","Carbon / Health / Heat","Gandhi's nonviolent resistance movement led India to independence from British rule."
"293","0","Carbon / Health / Heat","The Holocaust was the systematic genocide of six million Jews by Nazi Germany."
"294","5","War / World / World War","The Cuban Missile Crisis brought the world to the brink of nuclear war in 1962."
"295","7","Security / Attacks / Software","Ancient Mesopotamia developed the earliest writing systems, laws, and urban centres."
"296","0","Carbon / Health / Heat","The Magna Carta of 1215 established the principle that rulers are subject to law."
"297","3","Space / Telescope / Space Telescope","The space race between the US and USSR culminated in the Apollo 11 moon landing."
"298","5","War / World / World War","Decolonization after World War Two transformed dozens of nations across Africa and Asia."
"299","0","Carbon / Health / Heat","The Arab Spring uprisings beginning in 2010 reshaped governments across the Middle East."
